epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,717.867,0.37122,0.29425,0.81982,1,0.93896,0.95941,0.90064,0.37487,0.26079,0.77556,0.0003763,0.0003763,0.0003763
65,731.251,0.34106,0.27506,0.80008,0.99784,0.93939,0.95384,0.90255,0.37274,0.25418,0.76952,0.0003664,0.0003664,0.0003664
66,740.863,0.35776,0.28075,0.82173,0.99707,0.93939,0.96403,0.91142,0.36713,0.23329,0.77054,0.0003565,0.0003565,0.0003565
67,751.349,0.36416,0.29302,0.82126,0.99807,0.93939,0.96327,0.91001,0.35447,0.24865,0.77264,0.0003466,0.0003466,0.0003466
68,762.046,0.34654,0.27409,0.81103,1,0.93836,0.95785,0.89601,0.34934,0.24808,0.77501,0.0003367,0.0003367,0.0003367
69,772.018,0.33386,0.27164,0.81055,0.99942,0.93939,0.95648,0.91514,0.35493,0.25173,0.77726,0.0003268,0.0003268,0.0003268
70,782.217,0.34341,0.27875,0.81575,1,0.93897,0.95489,0.89952,0.37807,0.24933,0.8013,0.0003169,0.0003169,0.0003169
71,792.308,0.32481,0.26286,0.80728,0.99879,0.93939,0.95453,0.89817,0.35182,0.24213,0.79121,0.000307,0.000307,0.000307
72,802.431,0.34581,0.28204,0.81896,0.99653,0.93939,0.95489,0.91026,0.3534,0.2517,0.77486,0.0002971,0.0002971,0.0002971
73,812.467,0.33386,0.26806,0.80951,0.998,0.93939,0.95606,0.91076,0.34417,0.24206,0.76854,0.0002872,0.0002872,0.0002872
74,822.522,0.35457,0.27292,0.81157,0.99753,0.93939,0.95261,0.90254,0.34562,0.23681,0.77112,0.0002773,0.0002773,0.0002773
75,832.694,0.33624,0.25693,0.81008,0.9993,0.93939,0.95418,0.90902,0.34803,0.25448,0.76895,0.0002674,0.0002674,0.0002674
76,842.024,0.32629,0.267,0.8017,1,0.93909,0.95103,0.89713,0.35562,0.24335,0.77308,0.0002575,0.0002575,0.0002575
77,853.217,0.33068,0.25499,0.80684,0.9982,0.93939,0.95352,0.91199,0.36069,0.23345,0.77989,0.0002476,0.0002476,0.0002476
78,866.084,0.33876,0.2574,0.8123,0.99899,0.93939,0.95606,0.91766,0.37082,0.2379,0.79015,0.0002377,0.0002377,0.0002377
79,882.18,0.33641,0.27268,0.81517,0.9997,0.93939,0.95352,0.89747,0.36579,0.25041,0.80072,0.0002278,0.0002278,0.0002278
80,894.067,0.32665,0.25921,0.80751,0.99894,0.93939,0.95321,0.89661,0.3565,0.2517,0.79692,0.0002179,0.0002179,0.0002179
81,905.919,0.32273,0.25969,0.80051,0.99886,0.93939,0.95489,0.90253,0.37101,0.23992,0.79457,0.000208,0.000208,0.000208
82,918.347,0.32413,0.25439,0.80979,0.99827,0.93939,0.95418,0.91181,0.34172,0.22861,0.78066,0.0001981,0.0001981,0.0001981
83,931.348,0.34082,0.25627,0.81175,0.99832,0.93939,0.95418,0.90257,0.3568,0.22539,0.77781,0.0001882,0.0001882,0.0001882
84,945.1,0.31527,0.247,0.80423,0.99856,0.93939,0.95566,0.90059,0.342,0.2158,0.78122,0.0001783,0.0001783,0.0001783
85,959.291,0.31915,0.25344,0.79896,0.99861,0.93939,0.95941,0.90518,0.35204,0.22057,0.78317,0.0001684,0.0001684,0.0001684
86,971.41,0.31492,0.25126,0.80159,0.999,0.93939,0.96058,0.91622,0.34521,0.21529,0.78566,0.0001585,0.0001585,0.0001585
87,983.298,0.31303,0.2485,0.80472,0.99898,0.93939,0.96327,0.91752,0.35195,0.21883,0.78691,0.0001486,0.0001486,0.0001486
88,995.438,0.30886,0.24892,0.80754,0.99902,0.93939,0.96185,0.9229,0.34278,0.22918,0.78329,0.0001387,0.0001387,0.0001387
89,1008.69,0.3051,0.24168,0.79858,0.99835,0.93939,0.95941,0.91692,0.34336,0.21235,0.7838,0.0001288,0.0001288,0.0001288
90,1021.96,0.30712,0.24802,0.80506,0.99808,0.93939,0.95835,0.91726,0.33554,0.21145,0.77645,0.0001189,0.0001189,0.0001189
91,1050.22,0.27676,0.23025,0.78061,0.99831,0.93939,0.95233,0.9089,0.33442,0.22214,0.77693,0.000109,0.000109,0.000109
92,1064.51,0.27231,0.23016,0.77469,0.99828,0.93939,0.95527,0.90733,0.3423,0.21645,0.77832,9.91e-05,9.91e-05,9.91e-05
93,1078.64,0.2706,0.22311,0.77231,0.99861,0.93939,0.9612,0.914,0.35727,0.21685,0.78392,8.92e-05,8.92e-05,8.92e-05
94,1091.5,0.28144,0.22462,0.77192,0.9986,0.93939,0.96254,0.91782,0.34523,0.21261,0.78205,7.93e-05,7.93e-05,7.93e-05
95,1104.16,0.27373,0.22499,0.76651,0.99837,0.93939,0.9612,0.92391,0.33612,0.20582,0.77584,6.94e-05,6.94e-05,6.94e-05
96,1117.43,0.26996,0.22057,0.77551,0.99841,0.93939,0.96185,0.92308,0.34004,0.214,0.77526,5.95e-05,5.95e-05,5.95e-05
97,1130.68,0.27049,0.22156,0.77716,0.99841,0.93939,0.9612,0.92939,0.3408,0.20907,0.77394,4.96e-05,4.96e-05,4.96e-05
98,1143.39,0.26935,0.21678,0.7836,0.9984,0.93939,0.95998,0.92756,0.33848,0.21067,0.77559,3.97e-05,3.97e-05,3.97e-05
99,1156.62,0.26698,0.22291,0.77926,0.99843,0.93939,0.96327,0.92904,0.34467,0.21315,0.77508,2.98e-05,2.98e-05,2.98e-05
100,1169.7,0.26558,0.21621,0.78118,0.99839,0.93939,0.96254,0.93071,0.34578,0.20967,0.77351,1.99e-05,1.99e-05,1.99e-05
